2024-01-12 13:17:40,124 - INFO: Win
2024-01-12 13:18:10,070 - INFO: Win
2024-01-12 13:20:11,518 - INFO: Loss
2024-01-12 13:22:28,108 - INFO: Loss
2024-01-12 13:34:02,503 - INFO: Win
2024-01-12 13:34:49,553 - INFO: Loss
2024-01-12 14:35:07,895 - INFO: Win
2024-01-12 14:40:37,972 - INFO: Win
2024-01-12 14:42:11,859 - INFO: Win
2024-01-12 14:43:17,213 - INFO: Loss
2024-01-12 15:07:17,260 - INFO: Win
2024-01-12 15:29:59,693 - INFO: Win
2024-01-12 17:34:56,734 - INFO: Win
2024-01-12 17:43:58,962 - INFO: Win
2024-01-12 19:18:08,636 - INFO: Loss
2024-01-12 19:19:48,562 - INFO: Win
2024-01-12 19:36:09,431 - INFO: Loss
2024-01-12 19:38:24,438 - INFO: Loss
2024-01-12 19:57:42,797 - INFO: Loss
2024-01-12 19:59:17,542 - INFO: Loss
